"shortZip","state","democratContribution","republicanContribution"
"75229","TX",132553.78,255548.95
"90068","CA",379675.34,5220
"10580","NY",226456.49,150978.6
"10036","NY",275083.83,102159.32
"90405","CA",320174.42,56613.92
"93108","CA",171417.34,203112.64
"77057","TX",70429.66,299016.08
"94024","CA",277796,88220
"90274","CA",156360.92,208500.28
"22066","VA",180438.45,183981.26
"10514","NY",303732.52,60103.6
"30305","GA",136526.83,227062.84
"78701","TX",145613.98,217296.66
"22201","VA",258662.14,102735.42
"79705","TX",10632.23,350050.04
"20005","DC",276292.07,83632.6
"92067","CA",113073.72,246350.11
"94131","CA",347035.14,10844.16
"94303","CA",285509.41,72029
"60657","IL",311238.87,46142.88
"77002","TX",108355.43,246688.66
"77382","TX",48571.26,306433.6
"33131","FL",177219.57,174890.88
"91604","CA",309486.81,36097.13
"94306","CA",306219.18,37478.51
"48009","MI",134483.62,207999.74
"90036","CA",264584.57,77225.5
"33408","FL",78391.81,262657.05
"63124","MO",160483.67,180556.47
"20037","DC",262535.62,75904.56
"32789","FL",132774.29,203897
"90291","CA",302023.24,32371.41
"91105","CA",141492.99,191897.8
"07960","NJ",125643.48,206101.45
"33432","FL",156365.21,175212.39
"02445","MA",304822.17,26658
"11217","NY",327460.86,1900
"90027","CA",307238.77,21552.78
"32082","FL",66621.05,261946.27
"92651","CA",168918.72,159568.49
"91423","CA",205617.66,122739.1
"63105","MO",206870.89,120023
"30309","GA",250636.29,74948.45
"77007","TX",121783.02,201877.6
"77479","TX",133783.19,188916.63
"33301","FL",157012.67,164188.79
"78731","TX",170308.37,146957.68
"95070","CA",212738.89,104461.22
"98004","WA",184764.71,131326.48
"07631","NJ",76588.18,239472.6
"60035","IL",261887.56,53002
"75093","TX",66995.06,245895.79
"98103","WA",288358.47,22754
"32963","FL",25977.08,284754.16
"90403","CA",248479.86,59715.9
"80206","CO",221610.52,84276.75
"37027","TN",111364.56,191773.26
"60091","IL",197824.11,104755.78
"75220","TX",108876.75,192787.75
"77401","TX",90454.13,211063
"06820","CT",94651.78,205025.73
"10538","NY",194440.57,104576
"60201","IL",266384.21,32265.44
"76107","TX",47362.41,250919.01
